ID,OBJID,RELATIVE_FRAME,LANE_ID,ORIENTATION,SOLIDITY,AREA,WIDTH,COMPACTNESS_RATIO,ASPECT_RATIO,ECCENTRICITY,CENTROID_X,CENTROID_Y,YOCC,YCLASS
3,3,45,3,0.97976,0.84626,0.52958,0.77624,0.51178,1.3125,0.68441,212.28,219.55,0,2
4,5,27,4,0.86228,0.89873,0.29802,0.68718,0.75432,1,0.81857,234.66,167.28,0,2
4,5,28,4,0.81589,0.93421,0.29531,0.63844,0.79295,1,0.84259,234.84,167.55,0,2
4,5,29,4,0.80039,0.92138,0.3039,0.63764,0.82794,1.1429,0.83005,234.74,167.63,0,2
4,5,31,4,0.74782,0.88767,0.31751,0.70834,0.69302,0.9375,0.8134,235.45,169.36,0,2
4,5,32,4,0.79529,0.90368,0.31285,0.70861,0.74853,1,0.83166,235.29,169.34,0,2
4,5,33,4,0.55821,0.88011,0.31065,0.70173,0.69617,0.9375,0.87395,235.45,169.94,0,2
4,5,34,4,0.62467,0.93558,0.28553,0.64906,0.81724,0.93333,0.91479,236.19,170.79,0,2
4,5,35,4,0.81992,0.91292,0.2954,0.68218,0.82465,1,0.94088,236.38,171.74,0,2
4,5,36,4,0.87267,0.92969,0.31313,0.67014,0.79938,1,0.86105,236.8,172.89,0,2
4,5,37,4,0.58625,0.91049,0.31305,0.71293,0.74586,0.94118,0.894,237.19,172.81,0,2
6,7,1,3,0.9315,0.88045,0.46648,0.75699,0.68935,1.2727,0.72268,215.21,189.12,0,2
6,7,2,3,0.99044,0.91388,0.44252,0.71475,0.77377,1.2381,0.74539,215.2,189.92,0,2
6,7,3,3,0.94113,0.93333,0.45744,0.67133,0.72914,1.3,0.73317,215.08,190.95,0,2
6,7,4,3,0.98526,0.94019,0.4358,0.666,0.80734,1.3,0.73546,215.3,191.54,0,2
6,7,5,3,0.98137,0.91621,0.44216,0.68056,0.77441,1.2857,0.72771,215.31,193.61,0,2
6,7,6,3,0.9852,0.89888,0.44821,0.70216,0.72977,1.2727,0.74953,215.22,194.8,0,2
6,7,7,3,0.98313,0.92386,0.45145,0.69298,0.7537,1.2273,0.75753,215.16,195.84,0,2
6,7,8,3,0.99357,0.91625,0.44622,0.68557,0.74481,1.2727,0.73477,215.36,196.7,0,2
6,7,9,3,0.95282,0.92889,0.48655,0.73237,0.752,1.25,0.74001,215.29,198.4,0,2
6,7,10,3,0.9952,0.90539,0.47724,0.70988,0.623,1.375,0.69797,215.41,201,0,2
6,7,11,3,0.99597,0.8481,0.4625,0.73437,0.59925,1.24,0.72277,215.47,201.58,0,2
6,7,12,3,0.98245,0.91687,0.45957,0.69281,0.75069,1.3333,0.69284,215.58,203.08,0,2
6,7,13,3,0.89713,0.79931,0.46933,0.87919,0.4535,1.0968,0.7591,215.34,204.63,0,2
6,7,14,3,0.98712,0.92373,0.46685,0.66974,0.72304,1.3333,0.70161,215.52,206.07,0,2
6,7,15,3,0.99997,0.89201,0.46764,0.73213,0.6087,1.2222,0.71859,215.57,208.68,0,2
6,7,16,3,0.96536,0.88101,0.48289,0.69413,0.6498,1.3846,0.69233,215.07,210.12,0,2
6,7,17,3,0.99174,0.8614,0.48933,0.73585,0.56546,1.3929,0.6574,215.36,211.61,0,2
6,7,18,3,0.95777,0.93139,0.4853,0.669,0.76481,1.4231,0.69378,215.54,213.64,0,2
6,7,19,3,0.98271,0.84025,0.54883,0.9347,0.48109,1.0811,0.82368,214.53,215.45,0,2
6,7,20,3,0.97209,0.90484,0.50792,0.68791,0.67487,1.4643,0.66084,215.44,218.24,0,2
6,7,21,3,0.98396,0.85846,0.51855,0.77437,0.49159,1.2813,0.70555,214.88,219.8,0,2
7,8,1,4,0.88046,0.87527,0.37636,0.73618,0.5221,1.0417,0.76721,246.09,196.8,0,2
